ein,name,zip,zip5,nteefinal
753100052,1106 COLLEGE AVENUE H D F C,10458-8742,10458,B42
631222148,21ST CENTURY GLOBAL MISSIONS,38843-6014,38843,B43
270005794,770 RABBINICAL COLLEGE OF FLORIDA INC,33319-4104,33319,B42
391702887,A CHOICE EXPERIENCE INC,30523-0041,30523,B50
521867830,A M I E INC,21251-0001,21251,B50
430356250,A T STILL UNIVERSITY OF HEALTH SCIENCES,63501-1443,63501,B50
810420980,AANIIIH NAKODA COLLEGE INC,59526-0159,59526,B41
750851900,ABILENE CHRISTIAN UNIVERSITY,79699-9120,79699,B43
383689305,ABUNDANT CARE TRAINING SERVICES- ACTS,48201-1004,48201,B40
650621012,ACADEMY FOR FIVE ELEMENT ACUPUNCTURE INC,32601-6811,32601,B50
942881684,ACADEMY OF CHINESE CULTURE AND,94612-2168,94612,B43
830603155,ACADEMY OF FORENSIC NURSING,02343-0042,2343,B50
231433899,ACADEMY OF THE NEW CHURCH,19009-0000,19009,B43
986001152,ACADIA UNIVERSITY,00000-0000,0,B43
454101866,ACCELERATED COLLEGE EXPERIENCES INC,02130-1167,2130,B42
463006107,ACCREDITING COMMISSION FOR COMMUNITY AND JUNIOR COLLEGES WASC,94949-6175,94949,B41
331102896,ACI CCTSC INC,45215-1000,45215,B40
203185510,ACTON SCHOOL OF BUSINESS,78741-1138,78741,B50
943111522,ACUPUNCTURE AND INTEGRATIVE MEDICINE COLLEGE BERKELEY,94704-2724,94704,B43
111630741,ADELPHI UNIVERSITY,11530-0000,11530,B43
770576082,ADIZES GRADUATE SCHOOL INC,93013-2960,93013,B50
410970173,ADLER GRADUATE SCHOOL,55343-4653,55343,B50
362515281,ADLER SCHOOL OF PROFESSSIONAL PSYCHOLOGY,60602-4310,60602,B50
381357980,ADRIAN COLLEGE,49221-2518,49221,B42
593069793,ADVENTHEALTH UNIVERSITY INC,32803-1226,32803,B42
113806498,AENON SCHOOL OF THEOLOGY INC,90745-1940,90745,B50
201275199,AGAPE COLLEGE,72221-5431,72221,B41
860671074,AGELESS WISDOM SEMINARY,85254-5412,85254,B50
412096004,AGMUS VENTURES INC,32822-1747,32822,B40
580566116,AGNES SCOTT COLLEGE,30030-3770,30030,B43
452832530,AGORA UNIVERSITY INC,22150-2310,22150,B50
475138693,AILERON CORP,45371-9135,45371,B50
753066786,AKAMAI UNIVERSITY,27703-4766,96720,B43
464464959,ALABAMA COMMUNITY COLLEGE CONFERENCE INC,36130-2100,36130,B41
943255546,ALASKA BIBLE COLLEGE,99645-6619,99645,B42
472702558,ALASKA BIBLE SEMINARY,99559-2084,99559,B50
920023588,ALASKA PACIFIC UNIVERSITY,99508-4625,99508,B43
920170234,ALASKA PROCESS INDUSTRY CAREERS CONSORTIUM,99503-2745,99503,B41
920166297,ALASKA UNIVERSAL SERVICE ADMINISTRATIVE COMPANY,99515-4300,99515,B43
141423161,ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES,12208-3425,12208,B42
141338309,ALBANY LAW SCHOOL,12208-3434,12208,B50
141338310,ALBANY MEDICAL COLLEGE,12208-3412,12208,B50
830621846,ALBERT EINSTEIN COLLEGE OF MEDICINE,10461-1900,10461,B50
980127844,ALBERTA BIBLE COLLEGE,00000-0000,0,B42
060646520,ALBERTUS MAGNUS COLLEGE,06511-1224,6511,B43
381359081,ALBION COLLEGE,49224-1831,49224,B42
231352615,ALBRIGHT COLLEGE,19612-0000,19612,B43
850374823,ALBUQUERQUE BIBLE COLLEGE,87108-2905,87108,B42
812291013,ALDER COLLEGE,97293-0785,97293,B42
474649648,ALDER GRADUATE SCHOOL OF EDUCATION,94062-1510,94062,B43
550357072,ALDERSON BROADDUS COLLEGE INC,26416-0000,26416,B43
160743900,ALFRED UNIVERSITY,14802-1205,14802,B43
250965212,ALLEGHENY COLLEGE,16335-3903,16335,B42
251450171,ALLEGHENY SCHOOL OF ANESTHESIA,15212-4756,15212,B50
421351526,ALLEN COLLEGE,50703-1916,50703,B43
570341191,ALLEN UNIVERSITY,29204-1057,29204,B42
943477000,ALLIANCE COLLEGE READY MIDDLE ACADEMY NO 4,90017-3917,90017,B42
